nome,docente,website
Grupo de Inovação em Instrumentação Médica e Ultrasom - GIIMUS,Adilton Carneiro,https://giimus.wordpress.com/
Grupo de Inovação em Instrumentação Médica e Ultrasom - GIIMUS,Theo Pavan,https://giimus.wordpress.com/
Inbrain,Carlos Garrido,https://inbrainlab.wixsite.com/inbrainlab
Inbrain,Renata Leoni,https://inbrainlab.wixsite.com/inbrainlab
Laboratório de Sistemas Neurais - SisNe,Antônio Carlos Roque,http://www.sisne.org
Simulação Monte Carlo Aplicada à Radioterapia – SMART,Patrícia Nicolucci,
Sensores e Materiais - Sensormat,Marcelo Mulato,http://sites.usp.br/sensormat/
Grupo de Computação em Sinais e Imagens Médicas – CSIM,Luiz Otávio Murta,https://sites.google.com/site/grupocsim/
Laboratório de Biofísica Molecular - LBM,Antônio José da Costa Filho,http://www.biofisicamolecular.com.br/
Laboratório de Fotobiofísica,Luciano Bachmann,http://dcm.ffclrp.usp.br/fotobiofisica/index.html
Laboratório de Fotobiofísica,Amando Ito,http://dcm.ffclrp.usp.br/fotobiofisica/index.html
Laboratório de Fotobiofísica,Iouri Borissevitch,http://dcm.ffclrp.usp.br/fotobiofisica/index.html
Laboratório de Modelagem em Sistemas Complexos,Alexandre Souto Martinez,
Física Radiológica e Dosimetria,Alessandro Martins,http://dgp.cnpq.br/dgp/espelhogrupo/7548264580175587
Física Radiológica e Dosimetria,Martin Poletti,http://dgp.cnpq.br/dgp/espelhogrupo/1
Física Radiológica e Dosimetria,Patrícia Nicolucci,http://dgp.cnpq.br/dgp/espelhogrupo/2
